id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020
3277,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),,Average laden,miles,miles,kg CO2e,Articulated (>33t) miles WTT- HGV (all diesel),0.35364
3278,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),,Average laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km WTT- HGV (all diesel),0.01849
3279,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,0% Laden,km,km,kg CO2e,All artics km WTT- HGV (all diesel),0.15398
3280,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,0% Laden,miles,miles,kg CO2e,All artics miles WTT- HGV (all diesel),0.24781
3281,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,0% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV (all diesel),
3282,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,50% Laden,km,km,kg CO2e,All artics km WTT- HGV (all diesel),0.20462
3283,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,50% Laden,miles,miles,kg CO2e,All artics miles WTT- HGV (all diesel),0.32931
3284,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,50% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV (all diesel),0.02234
3285,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,100% Laden,km,km,kg CO2e,All artics km WTT- HGV (all diesel),0.25526
3286,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,100% Laden,miles,miles,kg CO2e,All artics miles WTT- HGV (all diesel),0.4108
3287,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,100% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV (all diesel),0.01394
3288,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,Average laden,km,km,kg CO2e,All artics km WTT- HGV (all diesel),0.21785
3289,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,Average laden,miles,miles,kg CO2e,All artics miles WTT- HGV (all diesel),0.3506
3290,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,,Average laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV (all diesel),0.01888
3291,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,0% Laden,km,km,kg CO2e,All HGVs km WTT- HGV (all diesel),0.15618
3292,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,0% Laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV (all diesel),0.25135
3293,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,0% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV (all diesel),
3294,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,50% Laden,km,km,kg CO2e,All HGVs km WTT- HGV (all diesel),0.19786
3295,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,50% Laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV (all diesel),0.31842
3296,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,50% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV (all diesel),0.0297
3297,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,100% Laden,km,km,kg CO2e,All HGVs km WTT- HGV (all diesel),0.23953
3298,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,100% Laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV (all diesel),0.38549
3299,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,100% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV (all diesel),0.01798
3300,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,Average laden,km,km,kg CO2e,All HGVs km WTT- HGV (all diesel),0.20638
3301,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,Average laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV (all diesel),0.33214
3302,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,,Average laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV (all diesel),0.0254
3303,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km WTT- HGV refrigerated (all diesel),0.12797
3304,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles WTT- HGV refrigerated (all diesel),0.20595
3305,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) tonne.km WTT- HGV refrigerated (all diesel),
3306,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km WTT- HGV refrigerated (all diesel),0.1391
3307,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles WTT- HGV refrigerated (all diesel),0.22386
3308,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.13203
3309,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km WTT- HGV refrigerated (all diesel),0.15023
3310,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles WTT- HGV refrigerated (all diesel),0.24177
3311,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.0713
3312,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km WTT- HGV refrigerated (all diesel),0.13777
3313,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles WTT- HGV refrigerated (all diesel),0.22171
3314,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,tonne.km,tonne.km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.14859
3315,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,km,km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) km WTT- HGV refrigerated (all diesel),0.15353
3316,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,miles,miles,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) miles WTT- HGV refrigerated (all diesel),0.24708
3317,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),
3318,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,km,km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) km WTT- HGV refrigerated (all diesel),0.17546
3319,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,miles,miles,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) miles WTT- HGV refrigerated (all diesel),0.28238
3320,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.07239
3321,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,km,km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) km WTT- HGV refrigerated (all diesel),0.1974
3322,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,miles,miles,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) miles WTT- HGV refrigerated (all diesel),0.31768
3323,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.04072
3324,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,km,km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) km WTT- HGV refrigerated (all diesel),0.16801
3325,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,miles,miles,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) miles WTT- HGV refrigerated (all diesel),0.27038
3326,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,tonne.km,tonne.km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.10502
3327,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,0% Laden,km,km,kg CO2e,Rigid (>17 tonnes) km WTT- HGV refrigerated (all diesel),0.2204
3328,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,0% Laden,miles,miles,kg CO2e,Rigid (>17 tonnes) miles WTT- HGV refrigerated (all diesel),0.3547
3329,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,0% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),
3330,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,50% Laden,km,km,kg CO2e,Rigid (>17 tonnes) km WTT- HGV refrigerated (all diesel),0.26878
3331,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,50% Laden,miles,miles,kg CO2e,Rigid (>17 tonnes) miles WTT- HGV refrigerated (all diesel),0.43256
3332,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,50% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.05789
3333,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,100% Laden,km,km,kg CO2e,Rigid (>17 tonnes) km WTT- HGV refrigerated (all diesel),0.31716
3334,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,100% Laden,miles,miles,kg CO2e,Rigid (>17 tonnes) miles WTT- HGV refrigerated (all diesel),0.51042
3335,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,100% Laden,tonne.km,tonne.km,kg CO2e,Rigid (>17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.03415
3336,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,Average laden,km,km,kg CO2e,Rigid (>17 tonnes) km WTT- HGV refrigerated (all diesel),0.27529
3337,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,Average laden,miles,miles,kg CO2e,Rigid (>17 tonnes) miles WTT- HGV refrigerated (all diesel),0.44303
3338,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),,Average laden,tonne.km,tonne.km,kg CO2e,Rigid (>17 tonnes) tonne.km WTT- HGV refrigerated (all diesel),0.05226
3339,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,0% Laden,km,km,kg CO2e,All rigids km WTT- HGV refrigerated (all diesel),0.18965
3340,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,0% Laden,miles,miles,kg CO2e,All rigids miles WTT- HGV refrigerated (all diesel),0.30521
3341,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,0% Laden,tonne.km,tonne.km,kg CO2e,All rigids tonne.km WTT- HGV refrigerated (all diesel),
3342,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,50% Laden,km,km,kg CO2e,All rigids km WTT- HGV refrigerated (all diesel),0.22569
3343,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,50% Laden,miles,miles,kg CO2e,All rigids miles WTT- HGV refrigerated (all diesel),0.36321
3344,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,50% Laden,tonne.km,tonne.km,kg CO2e,All rigids tonne.km WTT- HGV refrigerated (all diesel),0.06473
3345,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,100% Laden,km,km,kg CO2e,All rigids km WTT- HGV refrigerated (all diesel),0.26173
3346,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,100% Laden,miles,miles,kg CO2e,All rigids miles WTT- HGV refrigerated (all diesel),0.42121
3347,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,100% Laden,tonne.km,tonne.km,kg CO2e,All rigids tonne.km WTT- HGV refrigerated (all diesel),0.03753
3348,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,Average laden,km,km,kg CO2e,All rigids km WTT- HGV refrigerated (all diesel),0.22868
3349,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,Average laden,miles,miles,kg CO2e,All rigids miles WTT- HGV refrigerated (all diesel),0.36803
3350,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,,Average laden,tonne.km,tonne.km,kg CO2e,All rigids tonne.km WTT- HGV refrigerated (all diesel),0.06073
3351,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,0% Laden,km,km,kg CO2e,Articulated (>3.5 - 33t) km WTT- HGV refrigerated (all diesel),0.17784
3352,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,0% Laden,miles,miles,kg CO2e,Articulated (>3.5 - 33t) miles WTT- HGV refrigerated (all diesel),0.2862
3353,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,0% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>3.5 - 33t) tonne.km WTT- HGV refrigerated (all diesel),
3354,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,50% Laden,km,km,kg CO2e,Articulated (>3.5 - 33t) km WTT- HGV refrigerated (all diesel),0.2223
3355,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,50% Laden,miles,miles,kg CO2e,Articulated (>3.5 - 33t) miles WTT- HGV refrigerated (all diesel),0.35776
3356,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,50% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>3.5 - 33t) tonne.km WTT- HGV refrigerated (all diesel),0.03332
3357,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,100% Laden,km,km,kg CO2e,Articulated (>3.5 - 33t) km WTT- HGV refrigerated (all diesel),0.26676
3358,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,100% Laden,miles,miles,kg CO2e,Articulated (>3.5 - 33t) miles WTT- HGV refrigerated (all diesel),0.42931
3359,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,100% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>3.5 - 33t) tonne.km WTT- HGV refrigerated (all diesel),0.01999
3360,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,km,km,kg CO2e,Articulated (>3.5 - 33t) km WTT- HGV refrigerated (all diesel),0.2143
3361,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,miles,miles,kg CO2e,Articulated (>3.5 - 33t) miles WTT- HGV refrigerated (all diesel),0.34488
3362,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,tonne.km,tonne.km,kg CO2e,Articulated (>3.5 - 33t) tonne.km WTT- HGV refrigerated (all diesel),0.03917
3363,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,km,km,kg CO2e,Articulated (>33t) km WTT- HGV refrigerated (all diesel),0.17873
3364,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,miles,miles,kg CO2e,Articulated (>33t) miles WTT- HGV refrigerated (all diesel),0.28764
3365,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km WTT- HGV refrigerated (all diesel),
3366,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,km,km,kg CO2e,Articulated (>33t) km WTT- HGV refrigerated (all diesel),0.2383
3367,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,miles,miles,kg CO2e,Articulated (>33t) miles WTT- HGV refrigerated (all diesel),0.38351
3368,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km WTT- HGV refrigerated (all diesel),0.02567
3369,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,km,km,kg CO2e,Articulated (>33t) km WTT- HGV refrigerated (all diesel),0.29788
3370,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,miles,miles,kg CO2e,Articulated (>33t) miles WTT- HGV refrigerated (all diesel),0.47939
3371,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km WTT- HGV refrigerated (all diesel),0.01604
3372,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,Average laden,km,km,kg CO2e,Articulated (>33t) km WTT- HGV refrigerated (all diesel),0.25499
3373,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,Average laden,miles,miles,kg CO2e,Articulated (>33t) miles WTT- HGV refrigerated (all diesel),0.41036
3374,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),,Average laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km WTT- HGV refrigerated (all diesel),0.02146
3375,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,0% Laden,km,km,kg CO2e,All artics km WTT- HGV refrigerated (all diesel),0.17868
3376,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,0% Laden,miles,miles,kg CO2e,All artics miles WTT- HGV refrigerated (all diesel),0.28756
3377,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,0% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV refrigerated (all diesel),
3378,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,50% Laden,km,km,kg CO2e,All artics km WTT- HGV refrigerated (all diesel),0.23744
3379,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,50% Laden,miles,miles,kg CO2e,All artics miles WTT- HGV refrigerated (all diesel),0.38212
3380,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,50% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV refrigerated (all diesel),0.02593
3381,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,100% Laden,km,km,kg CO2e,All artics km WTT- HGV refrigerated (all diesel),0.2962
3382,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,100% Laden,miles,miles,kg CO2e,All artics miles WTT- HGV refrigerated (all diesel),0.47669
3383,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,100% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV refrigerated (all diesel),0.01617
3384,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,Average laden,km,km,kg CO2e,All artics km WTT- HGV refrigerated (all diesel),0.25279
3385,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,Average laden,miles,miles,kg CO2e,All artics miles WTT- HGV refrigerated (all diesel),0.40683
3386,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,,Average laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km WTT- HGV refrigerated (all diesel),0.02191
3387,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,0% Laden,km,km,kg CO2e,All HGVs km WTT- HGV refrigerated (all diesel),0.18345
3388,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,0% Laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV refrigerated (all diesel),0.29524
3389,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,0% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV refrigerated (all diesel),
3390,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,50% Laden,km,km,kg CO2e,All HGVs km WTT- HGV refrigerated (all diesel),0.23241
3391,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,50% Laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV refrigerated (all diesel),0.37402
3392,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,50% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV refrigerated (all diesel),0.03489
3393,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,100% Laden,km,km,kg CO2e,All HGVs km WTT- HGV refrigerated (all diesel),0.28136
3394,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,100% Laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV refrigerated (all diesel),0.4528
3395,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,100% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV refrigerated (all diesel),0.02112
3396,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,Average laden,km,km,kg CO2e,All HGVs km WTT- HGV refrigerated (all diesel),0.24242
3397,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,Average laden,miles,miles,kg CO2e,All HGVs miles WTT- HGV refrigerated (all diesel),0.39013
3398,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,,Average laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km WTT- HGV refrigerated (all diesel),0.02983
3399,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Domestic, to/from UK",,With RF,tonne.km,tonne.km,kg CO2e,"Domestic, to/from UK tonne.km WTT- freight flights",0.52178
3400,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Domestic, to/from UK",,Without RF,tonne.km,tonne.km,kg CO2e,"Domestic, to/from UK tonne.km WTT- freight flights",0.52178
3401,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Short-haul, to/from UK",,With RF,tonne.km,tonne.km,kg CO2e,"Short-haul, to/from UK tonne.km WTT- freight flights",0.24193
3402,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Short-haul, to/from UK",,Without RF,tonne.km,tonne.km,kg CO2e,"Short-haul, to/from UK tonne.km WTT- freight flights",0.24193
3403,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Long-haul, to/from UK",,With RF,tonne.km,tonne.km,kg CO2e,"Long-haul, to/from UK tonne.km WTT- freight flights",0.12415
3404,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Long-haul, to/from UK",,Without RF,tonne.km,tonne.km,kg CO2e,"Long-haul, to/from UK tonne.km WTT- freight flights",0.12415
3405,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"International, to/from non-UK",,With RF,tonne.km,tonne.km,kg CO2e,"International, to/from non-UK tonne.km WTT- freight flights",0.12415
3406,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"International, to/from non-UK",,Without RF,tonne.km,tonne.km,kg CO2e,"International, to/from non-UK tonne.km WTT- freight flights",0.12415
3407,Scope 3,WTT- delivery vehs & freight,WTT- rail,Freight train,,,tonne.km,tonne.km,kg CO2e,Freight train tonne.km WTT- rail,0.00603
3408,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,"200,000+ dwt",,tonne.km,tonne.km,kg CO2e,"Crude tanker 200,000+ dwt",0.00057
